Date,Price
2019/05/24,171.07
2019/05/23,172.07
2019/05/22,173.66
2019/05/21,173.26
2019/05/20,173.79
2019/05/17,174.73
2019/05/16,175.02
2017/07/13,164.68,
2017/07/12,164.18,
2017/07/11,164.02,
2017/07/10,162.85,
2017/07/07,162.47,
2017/07/06,163.37,
2017/07/05,163.06,
2017/07/04,162.35,
2017/07/03,162.73,
2017/06/30,163.51,
2017/06/29,163.11,
2017/06/28,162.16,
2017/06/27,162.34,
2017/06/26,161.95,
2017/06/23,162.05,
2017/06/22,161.83,
2017/06/21,162.15,
2017/06/20,163.05,
2017/06/19,163.20,
2017/06/15,161.36,
2017/06/14,161.91,
2017/06/13,161.90,
2017/06/12,162.10,
2017/06/09,162.38,
2017/06/08,161.09,
2017/06/07,161.92,
2017/06/06,162.15,
2017/06/05,161.74,
2017/06/02,161.93,
2017/06/01,161.75,
2017/05/31,163.20,
2017/05/30,162.94,
2017/05/29,161.54,
2017/05/26,161.34,
2017/05/25,162.39,
2017/05/24,162.63,
2017/05/23,164.19,
2017/05/22,164.33,
2017/05/19,164.20,
2017/05/18,164.63,
2017/05/17,163.65,
2017/05/16,163.35,
2017/05/15,164.04,
2017/05/12,164.70,
2017/05/11,164.71,
2017/05/10,165.47,
2017/05/09,165.94,
2017/05/08,164.92,
2017/05/05,164.81,
2017/05/04,164.55,
2017/05/03,164.24,
2017/05/02,164.76,
2017/04/28,164.76,
2017/04/26,163.20,
2017/04/25,162.80,
2017/04/24,161.75,
2017/04/21,162.30,
2017/04/20,161.96,
2017/04/19,162.68,
2017/04/18,162.95,
2017/04/13,164.07,
2017/04/12,165.17,
2017/04/11,165.67,
2017/04/10,165.65,
2017/04/07,164.62,
2017/04/06,164.84,
2017/04/05,165.00,
2017/04/04,164.63,
2017/04/03,162.80,
2017/03/31,162.03,
2017/03/30,160.20,
2017/03/29,160.76,
2017/03/28,160.51,
2017/03/27,157.81,
2017/03/24,157.25,
2017/03/23,157.87,
2017/03/22,158.15,
2017/03/20,159.52,
2017/03/17,159.48,
2017/03/16,159.06,
2017/03/15,158.27,
2017/03/14,159.24,
2017/03/13,159.22,
2017/03/10,159.12,
2017/03/09,158.54,
2017/03/08,158.72,
2017/03/07,158.66,
2017/03/06,159.86,
2017/03/03,159.91,
2017/03/02,160.29,
2017/03/01,159.59,
2017/02/28,159.00,
2017/02/27,158.15,
2017/02/24,158.58,
2017/02/23,159.30,
2017/02/22,160.41,
2017/02/21,160.57,
2017/02/20,160.56,
2017/02/17,160.28,
2017/02/16,159.73,
2017/02/15,159.70,
2017/02/14,160.18,
2017/02/13,161.76,
2017/02/10,160.74,
2017/02/09,160.26,
2017/02/08,159.60,
2017/02/07,159.46,
2017/02/06,159.49,
2017/02/03,159.46,
2017/02/02,159.71,
2017/02/01,159.15,
2017/01/31,158.13,
2017/01/30,158.41,
2017/01/27,158.73,
2017/01/26,159.03,
2017/01/25,158.38,
2017/01/24,157.62,
2017/01/23,158.14,
2017/01/20,157.63,
2017/01/19,157.76,
2017/01/18,158.02,
2017/01/17,157.93,
2017/01/16,158.17,
2017/01/13,157.37,
2017/01/12,157.01,
2017/01/11,157.30,
2017/01/10,155.88,
2017/01/09,155.12,
2017/01/06,155.70,
2017/01/05,154.97,
2017/01/04,154.19,
2017/01/03,153.71,
2016/12/30,155.03,
2016/12/29,154.29,
2016/12/28,154.75,
2016/12/23,153.79,
2016/12/22,154.70,
2016/12/21,154.37,
2016/12/20,154.67,
2016/12/19,154.55,
2016/12/15,153.49,
2016/12/14,153.68,
2016/12/13,153.27,
2016/12/12,154.16,
2016/12/09,155.13,
2016/12/08,154.45,
2016/12/07,152.38,
2016/12/06,152.23,
2016/12/05,153.68,
2016/12/02,153.74,
2016/12/01,154.42,
2016/11/30,154.61,
2016/11/29,154.30,
2016/11/28,154.33,
2016/11/25,155.19,
2016/11/24,155.53,
2016/11/23,155.96,
2016/11/22,156.58,
2016/11/21,155.90,
2016/11/18,157.05,
2016/11/17,155.59,
2016/11/16,155.19,
2016/11/15,153.84,
2016/11/14,154.50,
2016/11/11,155.01,
2016/11/10,155.17,
2016/11/09,151.97,
2016/11/08,151.99,
2016/11/07,151.45,
2016/11/04,151.06,
2016/11/03,152.28,
2016/11/02,152.28,
2016/11/01,153.91,
2016/10/31,153.41,
2016/10/28,154.87,
2016/10/27,155.46,
2016/10/26,155.84,
2016/10/25,156.72,
2016/10/24,156.87,
2016/10/21,157.42,
2016/10/20,157.34,
2016/10/19,157.26,
2016/10/18,156.53,
2016/10/17,156.86,
2016/10/14,156.90,
2016/10/13,156.85,
2016/10/12,158.10,
2016/10/11,158.34,
2016/10/10,156.88,
2016/10/07,156.99,
2016/10/06,158.40,
2016/10/05,157.86,
2016/10/04,158.50,
2016/10/03,158.69,
2016/09/30,158.99,
2016/09/29,159.37,
2016/09/28,157.53,
2016/09/27,156.27,
2016/09/26,157.11,
2016/09/23,158.22,
2016/09/22,157.79,
2016/09/21,157.28,
